name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1620854096583549833,0,0,3018429
water_meter,1620854396635494391,0,0,3018429
water_meter,1620854696763139883,0,0,3018429
water_meter,1620854996859720377,0,0,3018429
water_meter,1620855296982267210,0,0,3018429
water_meter,1620855597064266591,0,0,3018429
water_meter,1620855897113342059,0,0,3018429
water_meter,1620856197241693813,0,0,3018429
water_meter,1620856497314768147,0,0,3018429
water_meter,1620857098482855091,0,0,3018429
water_meter,1620857398562590383,0,0,3018429
water_meter,1620857698650773003,0,0,3018429
water_meter,1620857998781783077,0,0,3018429
water_meter,1620858298842694031,0,0,3018429
water_meter,1620858598916337805,0,0,3018429
water_meter,1620858899044035071,0,0,3018429
water_meter,1620859199101714046,0,0,3018429
water_meter,1620859499194093312,0,0,3018429
water_meter,1620859799311658245,0,0,3018429
water_meter,1620860099401595910,0,0,3018429
water_meter,1620860399511582177,0,0,3018429
water_meter,1620860699633114226,0,0,3018429
water_meter,1620860999761152738,0,0,3018429
water_meter,1620861299815008510,0,0,3018429
water_meter,1620861599914060804,0,0,3018429
water_meter,1620861899934107431,0,0,3018429
water_meter,1620862200039278203,0,0,3018429
water_meter,1620862500164499054,0,0,3018429
water_meter,1620862800281251272,0,0,3018429
water_meter,1620863100392208501,0,0,3018429
water_meter,1620863400521111684,0,0,3018429
water_meter,1620863700643029335,0,0,3018429
water_meter,1620864000751526494,0,0,3018429
water_meter,1620864300812432947,0,0,3018429
water_meter,1620864600922667074,0,0,3018429
water_meter,1620864901037963142,0,0,3018429
water_meter,1620865201067134461,0,0,3018429
water_meter,1620865501119306599,0,0,3018429
water_meter,1620865801190799677,0,0,3018429
water_meter,1620866101308128746,0,0,3018429
water_meter,1620866401373911320,0,0,3018429
water_meter,1620866701470120582,0,0,3018429
water_meter,1620867001572732617,0,0,3018429
water_meter,1620867301678952773,0,0,3018429
water_meter,1620867601815800261,0,0,3018429
water_meter,1620867901917849847,0,0,3018429
water_meter,1620868201998548323,0,0,3018429
water_meter,1620868502042114489,0,0,3018429
water_meter,1620868802072441756,0,0,3018429
